Name	Positions	NextGame	Salary	Min	PTs	Reb	Ast	Stl	Blk	DblDbl	TriDbl	TO	Value	AvgPts	ProjPts	IngameProj	ActPts
Ante Zizic	(PF/C)	   10/24 vs CHI    	$3,000	2.68	0.93	1.04	0.27	0.12	0.21	0%	0%	0.15	1.08	13.00	3.23	-	0.00
Cedi Osman	(SG/SF)	  10/24 vs CHI    	$3,000	3.17	1.06	0.73	0.42	0.15	0.09	0%	0%	0.13	1.03	0.75	3.08	-	0.00
Willy Hernangomez	(PF/C)	    10/24 @ BOS 	$4,500	2.03	0.80	1.04	0.24	0.11	0.09	0%	0%	0.28	0.60	2.00	2.72	-	0.00
Wesley Iwundu	(SG/SF)	   10/24 vs BKN    	$3,000	2.56	0.96	0.60	0.29	0.20	0.08	0%	0%	0.16	0.89	3.00	2.66	-	0.00
Zach Collins	(PF/C)	 10/24 vs NO 	$3,300	2.00	0.72	0.78	0.19	0.12	0.06	0%	0%	0.15	0.70	1.00	2.30	-	0.00
Ryan Arcidiacono	(PG)	   10/24 @ CLE 	$3,000	2.98	1.08	0.40	0.30	0.12	0.00	0%	0%	0.23	0.74	1.50	2.21	-	0.00
Meyers Leonard	(PF/C)	   10/24 vs NO 	$3,000	2.20	0.65	0.66	0.23	0.12	0.03	0%	0%	0.10	0.72	10.50	2.15	-	0.00
Sindarius Thornwell	(SG)	    10/24 vs UTA    	$3,000	3.14	1.06	0.38	0.18	0.17	0.00	0%	0%	0.10	0.72	8.25	2.15	-	0.00
Alex Poythress	(SF)	 10/24 @ MIN 	$3,000	2.00	0.65	0.40	0.07	0.14	0.01	0%	0%	0.14	0.52	1.25	1.55	-	0.00
Ike Anigbogu	(PF/C)	 10/24 @ MIN 	$3,000	1.24	0.25	0.45	0.09	0.14	0.06	0%	0%	0.18	0.42	0.00	1.26	-	0.00
Jarrett Jack	(PG)	   10/24 @ BOS 	$3,200	1.01	0.33	0.32	0.25	0.07	0.02	0%	0%	0.20	0.38	0.00	1.21	-	0.00
Isaiah Whitehead	(PG/SG)	    10/24 @ ORL 	$3,000	0.99	0.35	0.35	0.17	0.09	0.00	0%	0%	0.11	0.40	0.00	1.20	-	0.00
Cole Aldrich	(C)	    10/24 vs IND    	$3,000	0.00	0.16	0.37	0.10	0.07	0.12	0%	0%	0.04	0.38	0.00	1.15	-	0.00
Kadeem Allen	(SG)	   10/24 vs NY 	$3,000	0.48	0.33	0.26	0.10	0.10	0.03	0%	0%	0.01	0.37	0.00	1.11	-	0.00
Marcus Georges-Hunt	(SG/SF)	 10/24 vs IND    	$3,000	0.21	0.21	0.32	0.09	0.07	0.10	0%	0%	0.02	0.37	0.00	1.10	-	0.00
Aaron Brooks	(PG/SG)	    10/24 vs IND    	$3,000	0.21	0.21	0.25	0.07	0.07	0.08	0%	0%	0.00	0.32	0.00	0.95	-	0.00
Brice Johnson	(PF/C)	    10/24 vs UTA    	$3,000	0.60	0.37	0.26	0.00	0.07	0.00	0%	0%	0.00	0.28	12.00	0.85	-	0.00
